X,Y,Z,FALL_HW,FALL_ML
10.44,-0.31,2.37,0,
10.44,-0.31,2.37,0,
10.44,-0.31,2.37,0,
10.44,-0.31,2.37,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.41,-0.27,2.14,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.04,1.99,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.18,-0.27,2.1,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.14,-0.31,2.41,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.41,-0.5,2.56,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.06,-0.08,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.41,0.0,1.99,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.29,-0.38,2.72,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.22,-0.15,2.03,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.48,-0.19,2.14,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.56,-0.38,2.22,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.02,-0.31,2.3,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.1,0.0,2.14,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
10.14,-0.31,2.22,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
9.99,-0.38,2.41,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
10.33,-0.46,2.53,0,
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,0
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,
9.99,-0.54,2.53,0,
10.29,-0.11,2.14,0,
