X,Y,Z,FALL
10.56,0.31,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.56,0.27,1.99,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.67,0.34,2.03,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.38,2.03,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.56,0.34,1.91,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.34,2.1,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.31,2.07,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.38,2.03,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.64,0.38,1.99,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.67,0.34,1.95,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.31,2.03,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.6,0.38,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.56,0.42,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.56,0.34,2.03,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.67,0.34,1.91,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.64,0.34,2.03,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.99,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.64,0.34,1.95,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.56,0.34,1.99,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,1.99,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.31,1.99,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,2.03,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
10.6,0.34,1.95,0
